In [5]: print_video_shots(results)
----------- Video shots: 34 ------------
  1 |   0.000 |  12.880
  2 |  12.920 |  21.680
  3 |  21.720 |  27.880
  4 |  27.920 |  31.800
  5 |  31.840 |  34.720
  6 |  34.760 |  37.000
  7 |  37.040 |  39.520
  8 |  39.560 |  45.200
  9 |  45.240 |  49.960
 10 |  50.000 |  54.960
 11 |  55.000 |  58.000
 12 |  58.040 |  64.880
 13 |  64.920 |  71.840
 14 |  71.880 |  79.000
 15 |  79.040 |  84.560
 16 |  84.600 |  91.280
 17 |  91.320 |  95.800
 18 |  95.840 |  98.720
 19 |  98.760 | 101.720
 20 | 101.760 | 105.080
 21 | 105.120 | 108.320
 22 | 108.360 | 111.080
 23 | 111.120 | 113.560
 24 | 113.600 | 117.480
 25 | 117.520 | 120.000
 26 | 120.040 | 123.560
 27 | 123.600 | 126.080
 28 | 126.120 | 128.000
 29 | 128.040 | 131.600
 30 | 131.640 | 132.960
 31 | 133.000 | 135.120
 32 | 135.160 | 138.320
 33 | 138.360 | 146.200
 34 | 146.240 | 162.520

In [6]: 
